date,npm_day,npm_week,npm_month,npm_alltime,npm_latest,docker_pulls,docker_tags,gh_stars,gh_forks,gh_views_14d,gh_views_unique_14d,gh_clones_14d,gh_clones_unique_14d
2026-05-04,371,454,1305,2876,4.0.1,1955,61,34,18,,,,
2026-05-05,371,454,1305,2876,4.5.1,2299,70,34,18,,,,
2026-05-06,531,970,1821,3407,4.5.1,2358,72,34,18,,,,
2026-05-07,88,1048,1892,3495,4.5.1,2369,72,34,18,,,,
2026-05-08,94,1121,1967,3589,4.5.1,2371,72,34,18,,,,
2026-05-09,37,1137,1760,3626,4.5.1,2374,72,34,18,,,,
2026-05-10,20,1152,1684,3671,4.5.1,2375,72,35,18,,,,
2026-05-11,16,811,1677,3687,4.5.1,2378,72,36,18,,,,
2026-05-12,16,811,1677,3687,4.5.1,2381,72,37,18,,,,
2026-05-13,50,330,1699,3737,4.5.1,2385,72,37,18,,,,
2026-05-14,39,281,1727,3776,4.5.1,2388,72,37,18,,,,
2026-05-15,39,281,1727,3776,4.5.1,2409,72,37,18,,,,
2026-05-16,23,173,1717,3799,4.5.1,2410,72,39,18,,,,
2026-05-17,26,178,1742,3849,4.5.1,2411,72,39,19,,,,
2026-05-18,45,207,1778,3894,4.5.1,2413,72,39,19,,,,
2026-05-19,45,207,1778,3894,4.5.1,2413,72,39,19,,,,
2026-05-20,33,190,1799,3927,4.5.1,2415,72,40,19,,,,
2026-05-21,34,185,1825,3961,4.5.1,2418,72,40,19,,,,
2026-05-22,17,202,1683,3978,4.5.1,2418,72,40,19,,,,
